kappa,Fx_dry_N,Fx_wet_N,Fx_snow_N
0.885,3694.13508891052,2796.6797304804,1082.8835442367
0.886,3693.81317063235,2796.65569801326,1082.97177309247
0.887,3693.49141671921,2796.63160810995,1083.05980649885
0.888,3693.16982670108,2796.6074609905,1083.14764519068
0.889,3692.84840010984,2796.58325687367,1083.23528989919
0.89,3692.52713647929,2796.55899597695,1083.322741352
0.891,3692.20603534512,2796.53467851654,1083.41000027312
0.892,3691.8850962449,2796.51030470742,1083.49706738301
0.893,3691.5643187181,2796.48587476328,1083.58394339855
0.894,3691.24370230606,2796.46138889659,1083.67062903313
0.895,3690.92324655195,2796.4368473186,1083.75712499661
0.896,3690.60295100083,2796.41225023932,1083.84343199538
0.897,3690.28281519959,2796.38759786755,1083.92955073236
0.898,3689.96283869694,2796.3628904109,1084.01548190702
0.899,3689.64302104346,2796.33812807576,1084.1012262154
0.9,3689.3233617915,2796.31331106735,1084.18678435017
0.901,3689.00386049526,2796.28843958971,1084.2721570006
0.902,3688.68451671071,2796.2635138457,1084.35734485258
0.903,3688.36532999565,2796.23853403703,1084.44234858868
0.904,3688.04629990963,2796.21350036423,1084.52716888814
0.905,3687.72742601399,2796.18841302672,1084.61180642691
0.906,3687.40870787184,2796.16327222277,1084.69626187764
0.907,3687.09014504807,2796.13807814949,1084.78053590972
0.908,3686.77173710928,2796.11283100291,1084.8646291893
0.909,3686.45348362386,2796.08753097793,1084.94854237932
0.91,3686.1353841619,2796.06217826834,1085.03227613948
0.911,3685.81743829523,2796.03677306683,1085.11583112632
0.912,3685.49964559742,2796.011315565,1085.19920799321
0.913,3685.18200564372,2795.98580595337,1085.28240739036
0.914,3684.86451801111,2795.9602444214,1085.36542996485
0.915,3684.54718227825,2795.93463115745,1085.44827636065
0.916,3684.2299980255,2795.90896634884,1085.53094721865
0.917,3683.91296483489,2795.88325018183,1085.61344317664
0.918,3683.59608229013,2795.85748284164,1085.69576486937
0.919,3683.2793499766,2795.83166451245,1085.77791292853
0.92,3682.96276748133,2795.80579537741,1085.85988798281
0.921,3682.64633439301,2795.77987561863,1085.94169065789
0.922,3682.33005030195,2795.75390541723,1086.02332157646
0.923,3682.01391480011,2795.72788495329,1086.10478135822
0.924,3681.69792748109,2795.70181440592,1086.18607061996
0.925,3681.38208794009,2795.67569395321,1086.2671899755
0.926,3681.06639577392,2795.64952377226,1086.34814003575
0.927,3680.75085058103,2795.6233040392,1086.42892140872
0.928,3680.43545196142,2795.59703492919,1086.50953469954
0.929,3680.1201995167,2795.57071661639,1086.58998051048
0.93,3679.80509285009,2795.54434927404,1086.67025944094
0.931,3679.49013156634,2795.51793307439,1086.75037208748
0.932,3679.1753152718,2795.49146818875,1086.83031904388
0.933,3678.86064357436,2795.46495478751,1086.91010090107
0.934,3678.54611608349,2795.43839304008,1086.98971824724
0.935,3678.23173241019,2795.41178311499,1087.06917166776
0.936,3677.917492167,2795.38512517981,1087.1484617453
0.937,3677.60339496799,2795.3584194012,1087.22758905975
0.938,3677.28944042878,2795.33166594493,1087.30655418829
0.939,3676.97562816647,2795.30486497584,1087.38535770541
0.94,3676.66195779971,2795.27801665788,1087.46400018288
0.941,3676.34842894863,2795.25112115412,1087.54248218982
0.942,3676.03504123487,2795.22417862672,1087.62080429268
0.943,3675.72179428155,2795.19718923699,1087.69896705525
0.944,3675.4086877133,2795.17015314533,1087.77697103871
0.945,3675.09572115621,2795.1430705113,1087.85481680162
0.946,3674.78289423782,2795.11594149359,1087.93250489994
0.947,3674.47020658719,2795.08876625004,1088.01003588703
0.948,3674.15765783478,2795.06154493761,1088.0874103137
0.949,3673.84524761254,2795.03427771245,1088.1646287282
0.95,3673.53297555384,2795.00696472985,1088.24169167622
0.951,3673.22084129351,2794.97960614428,1088.31859970094
0.952,3672.9088444678,2794.95220210937,1088.39535334302
0.953,3672.59698471439,2794.92475277793,1088.47195314064
0.954,3672.28526167237,2794.89725830196,1088.54839962945
0.955,3671.97367498224,2794.86971883264,1088.62469334269
0.956,3671.66222428594,2794.84213452034,1088.70083481108
0.957,3671.35090922675,2794.81450551466,1088.77682456296
0.958,3671.0397294494,2794.78683196435,1088.85266312418
0.959,3670.72868459998,2794.75911401742,1088.92835101823
0.96,3670.41777432595,2794.73135182108,1089.00388876616
0.961,3670.10699827618,2794.70354552174,1089.07927688663
0.962,3669.79635610087,2794.67569526507,1089.15451589597
0.963,3669.48584745161,2794.64780119594,1089.22960630809
0.964,3669.17547198134,2794.61986345847,1089.30454863459
0.965,3668.86522934433,2794.59188219602,1089.37934338471
0.966,3668.55511919621,2794.5638575512,1089.4539910654
0.967,3668.24514119397,2794.53578966586,1089.52849218127
0.968,3667.93529499588,2794.50767868111,1089.60284723465
0.969,3667.62558026158,2794.47952473734,1089.67705672558
0.97,3667.31599665201,2794.45132797417,1089.75112115182
0.971,3667.00654382944,2794.42308853052,1089.82504100889
0.972,3666.69722145742,2794.39480654456,1089.89881679006
0.973,3666.38802920082,2794.36648215378,1089.97244898635
0.974,3666.07896672581,2794.3381154949,1090.04593808657
0.975,3665.77003369985,2794.30970670398,1090.11928457734
0.976,3665.46122979168,2794.28125591634,1090.19248894305
0.977,3665.15255467131,2794.25276326661,1090.26555166593
0.978,3664.84400801004,2794.22422888874,1090.33847322602
0.979,3664.53558948044,2794.19565291596,1090.41125410121
0.98,3664.22729875631,2794.16703548083,1090.48389476725
0.981,3663.91913551274,2794.13837671522,1090.55639569773
0.982,3663.61109942606,2794.10967675032,1090.62875736414
0.983,3663.30319017385,2794.08093571666,1090.70098023584
0.984,3662.99540743492,2794.05215374407,1090.77306478009
0.985,3662.68775088932,2794.02333096176,1090.84501146207
0.986,3662.38022021832,2793.99446749822,1090.91682074487
0.987,3662.07281510443,2793.96556348135,1090.98849308952
0.988,3661.76553523136,2793.93661903834,1091.06002895499
0.989,3661.45838028405,2793.90763429575,1091.13142879821
0.99,3661.15134994863,2793.87860937952,1091.20269307407
0.991,3660.84444391245,2793.84954441492,1091.27382223544
0.992,3660.53766186403,2793.8204395266,1091.34481673318
0.993,3660.23100349311,2793.79129483856,1091.41567701615
0.994,3659.92446849059,2793.76211047419,1091.48640353122
0.995,3659.61805654857,2793.73288655625,1091.55699672327
0.996,3659.31176736032,2793.70362320689,1091.62745703523
0.997,3659.00560062028,2793.67432054762,1091.69778490807
0.998,3658.69955602405,2793.64497869936,1091.76798078079
0.999,3658.39363326839,2793.61559778242,1091.83804509049
1,3658.08783205122,2793.5861779165,1091.90797827231
